Run,Model,Observed,Predicted,Delta
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,1,0
1,baseline + ancestry,1,1,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,1,-1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,1,-1
1,baseline + ancestry,0,1,-1
1,baseline + ancestry,0,1,-1
1,baseline + ancestry,0,1,-1
1,baseline + ancestry,0,1,-1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,1,0
1,baseline + ancestry,0,1,-1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,1,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,1,0
1,baseline + ancestry,0,1,-1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,1,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,1,-1
1,baseline + ancestry,1,1,0
1,baseline + ancestry,1,1,0
1,baseline + ancestry,1,1,0
1,baseline + ancestry,0,1,-1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,1,0
1,baseline + ancestry,1,1,0
1,baseline + ancestry,0,1,-1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,1,-1
1,baseline + ancestry,0,1,-1
1,baseline + ancestry,0,1,-1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,1,-1
1,baseline + ancestry,0,1,-1
1,baseline + ancestry,0,1,-1
1,baseline + ancestry,0,1,-1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,1,-1
1,baseline + ancestry,1,1,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,1,-1
1,baseline + ancestry,0,1,-1
1,baseline + ancestry,0,1,-1
1,baseline + ancestry,0,1,-1
1,baseline + ancestry,0,1,-1
1,baseline + ancestry,0,1,-1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,1,-1
1,baseline + ancestry,0,1,-1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,1,-1
1,baseline + ancestry,0,1,-1
1,baseline + ancestry,0,1,-1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,1,0
1,baseline + ancestry,1,1,0
1,baseline + ancestry,0,1,-1
1,baseline + ancestry,1,1,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,1,-1
1,baseline + ancestry,0,1,-1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,1,0
1,baseline + ancestry,0,1,-1
1,baseline + ancestry,1,1,0
1,baseline + ancestry,0,1,-1
1,baseline + ancestry,1,1,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
1,baseline + ancestry,0,0,0
1,baseline + ancestry,1,0,1
2,baseline + ancestry,1,0,1
2,baseline + ancestry,1,1,0
2,baseline + ancestry,0,1,-1
2,baseline + ancestry,1,1,0
2,baseline + ancestry,0,0,0
2,baseline + ancestry,0,0,0
2,baseline + ancestry,0,0,0
2,baseline + ancestry,0,0,0
2,baseline + ancestry,1,0,1
2,baseline + ancestry,0,0,0
2,baseline + ancestry,0,0,0
2,baseline + ancestry,0,0,0
2,baseline + ancestry,1,0,1
2,baseline + ancestry,0,0,0
2,baseline + ancestry,0,0,0
2,baseline + ancestry,1,0,1
2,baseline + ancestry,0,0,0
2,baseline + ancestry,1,0,1
2,baseline + ancestry,0,0,0
2,baseline + ancestry,0,0,0
2,baseline + ancestry,0,0,0
2,baseline + ancestry,0,0,0
2,baseline + ancestry,0,0,0
2,baseline + ancestry,0,0,0
2,baseline + ancestry,0,0,0
2,baseline + ancestry,0,0,0
2,baseline + ancestry,1,0,1
2,baseline + ancestry,1,0,1
2,baseline + ancestry,0,0,0
2,baseline + ancestry,1,1,0
2,baseline + ancestry,0,0,0
2,baseline + ancestry,1,1,0
2,baseline + ancestry,1,1,0
2,baseline + ancestry,1,1,0
2,baseline + ancestry,1,0,1
2,baseline + ancestry,1,0,1
2,baseline + ancestry,1,0,1
2,baseline + ancestry,0,0,0
2,baseline + ancestry,0,0,0
2,baseline + ancestry,1,0,1
2,baseline + ancestry,0,0,0
2,baseline + ancestry,1,0,1
2,baseline + ancestry,0,0,0
2,baseline + ancestry,0,0,0
2,baseline + ancestry,1,0,1
2,baseline + ancestry,0,1,-1
2,baseline + ancestry,1,1,0
2,baseline + ancestry,0,1,-1
2,baseline + ancestry,0,0,0
2,baseline + ancestry,1,1,0
2,baseline + ancestry,0,1,-1
2,baseline + ancestry,0,0,0
2,baseline + ancestry,0,0,0
2,baseline + ancestry,1,0,1
2,baseline + ancestry,1,0,1
2,baseline + ancestry,0,0,0
2,baseline + ancestry,0,0,0
2,baseline + ancestry,0,0,0
2,baseline + ancestry,0,0,0
2,baseline + ancestry,0,0,0
2,baseline + ancestry,0,0,0
